OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
3,iterativefit,central,4,0.0,2.5,20.0,10000.0,-15.0,1.1,1.0
3,iterativefit,central,5,0.0,2.5,20.0,30.0,-15.0,0.0,1.08538019657135
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.0,0.0586659353330032,1.08538019657135
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.0586659353330032,0.19884705692685298,4.546502678774834*(x-0.05866593533300324)*(x-0.05866593533300324)*(x-0.05866593533300324)-2.100940489195586*(x-0.05866593533300324)*(x-0.05866593533300324)-0.07725627951916504*(x-0.05866593533300324)+1.08538019657135
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.19884705692685298,0.2797543325380072,124.31606055943426*(x-0.19884705692685303)*(x-0.19884705692685303)*(x-0.19884705692685303)-12.625934301224053*(x-0.19884705692685303)*(x-0.19884705692685303)-0.39825414827568534*(x-0.19884705692685303)+1.045789361000061
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.2797543325380072,0.3594845518620412,-250.26563487202424*(x-0.27975433253800724)*(x-0.27975433253800724)*(x-0.27975433253800724)+29.93060093642266*(x-0.27975433253800724)*(x-0.27975433253800724)+0.0*(x-0.27975433253800724)+0.9967585206031799
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.3594845518620412,0.4497390476235798,124.07335572292446*(x-0.35948455186204126)*(x-0.35948455186204126)*(x-0.35948455186204126)-16.797267237321833*(x-0.35948455186204126)*(x-0.35948455186204126)+0.0*(x-0.35948455186204126)+1.0601805448532104
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.4497390476235798,0.5503731742670235,-225.90614374899118*(x-0.44973904762357986)*(x-0.44973904762357986)*(x-0.44973904762357986)+34.100801219351936*(x-0.44973904762357986)*(x-0.44973904762357986)+0.0*(x-0.44973904762357986)+1.0145710706710815
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.5503731742670235,0.6513126452369059,163.08743633034135*(x-0.5503731742670235)*(x-0.5503731742670235)*(x-0.5503731742670235)-29.34492959460927*(x-0.5503731742670235)*(x-0.5503731742670235)+0.0*(x-0.5503731742670235)+1.1296865940093994
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.6513126452369059,0.7511520232678323,53.366220073453675*(x-0.6513126452369059)*(x-0.6513126452369059)*(x-0.6513126452369059)-3.2888265038621247*(x-0.6513126452369059)*(x-0.6513126452369059)-0.9391388750511278*(x-0.6513126452369059)+0.9984248876571655
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.7511520232678323,0.8540076483627991,-50.09823307166425*(x-0.7511520232678323)*(x-0.7511520232678323)*(x-0.7511520232678323)+7.729327618109048*(x-0.7511520232678323)*(x-0.7511520232678323)+0.0*(x-0.7511520232678323)+0.9249886274337769
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.8540076483627991,0.9690252143005508,3.6911053225535553*(x-0.8540076483627991)*(x-0.8540076483627991)*(x-0.8540076483627991)-3.9002674331135614*(x-0.8540076483627991)*(x-0.8540076483627991)+0.0*(x-0.8540076483627991)+0.9522455334663391
3,iterativefit,central,5,0.0,2.5,20.0,30.0,0.9690252143005508,1.1,0.9062650203704834
3,iterativefit,central,5,0.0,2.5,30.0,50.0,-15.0,0.0,1.0416828393936157
3,iterativefit,central,5,0.0,2.5,30.0,50.0,0.0,0.0617342071324465,1.0416828393936157
3,iterativefit,central,5,0.0,2.5,30.0,50.0,0.0617342071324465,0.2191919624933814,9.99172603606715*(x-0.06173420713244656)*(x-0.06173420713244656)*(x-0.06173420713244656)-4.719824261461634*(x-0.06173420713244656)*(x-0.06173420713244656)+0.7431729339078309*(x-0.06173420713244656)+1.0416828393936157
3,iterativefit,central,5,0.0,2.5,30.0,50.0,0.2191919624933814,0.299682538579488,113.05876684571416*(x-0.2191919624933814)*(x-0.2191919624933814)*(x-0.2191919624933814)-18.007944906789866*(x-0.2191919624933814)*(x-0.2191919624933814)+0.0*(x-0.2191919624933814)+1.0806889533996582
3,iterativefit,central,5,0.0,2.5,30.0,50.0,0.299682538579488,0.3896835814360168,82.80632860453865*(x-0.299682538579488)*(x-0.299682538579488)*(x-0.299682538579488)-7.281767480493918*(x-0.299682538579488)*(x-0.299682538579488)-0.7015070829590565*(x-0.299682538579488)+1.0229778289794922
3,iterativefit,central,5,0.0,2.5,30.0,50.0,0.3896835814360168,0.4905391739315174,-157.93728163363812*(x-0.3896835814360168)*(x-0.3896835814360168)*(x-0.3896835814360168)+23.96669069467685*(x-0.3896835814360168)*(x-0.3896835814360168)+0.0*(x-0.3896835814360168)+0.961225688457489
3,iterativefit,central,5,0.0,2.5,30.0,50.0,0.4905391739315174,0.5901907210525967,-0.016725901771091383*(x-0.4905391739315174)*(x-0.4905391739315174)*(x-0.4905391739315174)-0.07179027938627855*(x-0.4905391739315174)*(x-0.4905391739315174)+0.014806311050699622*(x-0.4905391739315174)+1.0429853200912476
3,iterativefit,central,5,0.0,2.5,30.0,50.0,0.5901907210525967,0.6911120900092399,3.761591271334276*(x-0.5901907210525967)*(x-0.5901907210525967)*(x-0.5901907210525967)-1.1696973726755087*(x-0.5901907210525967)*(x-0.5901907210525967)+0.0*(x-0.5901907210525967)+1.0437313318252563
3,iterativefit,central,5,0.0,2.5,30.0,50.0,0.6911120900092399,0.792160113681554,37.54654383755841*(x-0.6911120900092399)*(x-0.6911120900092399)*(x-0.6911120900092399)-5.091498486434874*(x-0.6911120900092399)*(x-0.6911120900092399)-0.12115811415708375*(x-0.6911120900092399)+1.03568434715271
3,iterativefit,central,5,0.0,2.5,30.0,50.0,0.792160113681554,0.8836526169692368,-34.17330716687205*(x-0.792160113681554)*(x-0.792160113681554)*(x-0.792160113681554)+4.689902127474051*(x-0.792160113681554)*(x-0.792160113681554)+0.0*(x-0.792160113681554)+1.0101932287216187
3,iterativefit,central,5,0.0,2.5,30.0,50.0,0.8836526169692368,0.9789752731366008,23.951997752000725*(x-0.8836526169692368)*(x-0.8836526169692368)*(x-0.8836526169692368)-8.508385167047312*(x-0.8836526169692368)*(x-0.8836526169692368)+0.0*(x-0.8836526169692368)+1.0232794284820557
3,iterativefit,central,5,0.0,2.5,30.0,50.0,0.9789752731366008,1.1,0.9667145609855652
3,iterativefit,central,5,0.0,2.5,50.0,70.0,-15.0,0.0,1.0653477907180786
3,iterativefit,central,5,0.0,2.5,50.0,70.0,0.0,0.0617582900227649,1.0653477907180786
3,iterativefit,central,5,0.0,2.5,50.0,70.0,0.0617582900227649,0.2192803031586547,0.6524233009068704*(x-0.061758290022764985)*(x-0.061758290022764985)*(x-0.061758290022764985)-0.47609980295841214*(x-0.061758290022764985)*(x-0.061758290022764985)-0.17048885030193953*(x-0.061758290022764985)+1.0653477907180786
3,iterativefit,central,5,0.0,2.5,50.0,70.0,0.2192803031586547,0.3095463039235023,45.61764601160579*(x-0.21928030315865477)*(x-0.21928030315865477)*(x-0.21928030315865477)-4.670395619573221*(x-0.21928030315865477)*(x-0.21928030315865477)-0.2719151496811176*(x-0.21928030315865477)+1.0292285680770874
3,iterativefit,central,5,0.0,2.5,50.0,70.0,0.3095463039235023,0.4098330108280609,-127.93218223434616*(x-0.30954630392350235)*(x-0.30954630392350235)*(x-0.30954630392350235)+19.244845895094667*(x-0.30954630392350235)*(x-0.30954630392350235)+0.0*(x-0.30954630392350235)+1.000180721282959
3,iterativefit,central,5,0.0,2.5,50.0,70.0,0.4098330108280609,0.5104878102744705,3.1239789528848907*(x-0.4098330108280609)*(x-0.4098330108280609)*(x-0.4098330108280609)-0.47166521246615023*(x-0.4098330108280609)*(x-0.4098330108280609)+0.0*(x-0.4098330108280609)+1.064698576927185
3,iterativefit,central,5,0.0,2.5,50.0,70.0,0.5104878102744705,0.6107770842641317,-105.17658774969422*(x-0.5104878102744705)*(x-0.5104878102744705)*(x-0.5104878102744705)+15.822125439190083*(x-0.5104878102744705)*(x-0.5104878102744705)+0.0*(x-0.5104878102744705)+1.0631057024002075
3,iterativefit,central,5,0.0,2.5,50.0,70.0,0.6107770842641317,0.7116345388576558,243.73266264305047*(x-0.6107770842641317)*(x-0.6107770842641317)*(x-0.6107770842641317)-36.87338393322038*(x-0.6107770842641317)*(x-0.6107770842641317)+0.0*(x-0.6107770842641317)+1.1161516904830933
3,iterativefit,central,5,0.0,2.5,50.0,70.0,0.7116345388576558,0.8013897587373428,-109.34140232319888*(x-0.711634538857656)*(x-0.711634538857656)*(x-0.711634538857656)+14.720942411208004*(x-0.711634538857656)*(x-0.711634538857656)+0.0*(x-0.711634538857656)+0.9911235570907593
3,iterativefit,central,5,0.0,2.5,50.0,70.0,0.8013897587373428,0.8836530675437865,108.64316560463729*(x-0.8013897587373428)*(x-0.8013897587373428)*(x-0.8013897587373428)-14.813254078401712*(x-0.8013897587373428)*(x-0.8013897587373428)+0.0*(x-0.8013897587373428)+1.0306541919708252
3,iterativefit,central,5,0.0,2.5,50.0,70.0,0.8836530675437865,0.9802872860175362,7.204657975718257*(x-0.8836530675437865)*(x-0.8836530675437865)*(x-0.8836530675437865)+0.15363371547819094*(x-0.8836530675437865)*(x-0.8836530675437865)-0.2315275580794091*(x-0.8836530675437865)+0.9908904433250427
3,iterativefit,central,5,0.0,2.5,50.0,70.0,0.9802872860175362,1.1,0.9764530062675475
3,iterativefit,central,5,0.0,2.5,70.0,100.0,-15.0,0.0,1.1277498006820679
3,iterativefit,central,5,0.0,2.5,70.0,100.0,0.0,0.06111791973415401,1.1277498006820679
3,iterativefit,central,5,0.0,2.5,70.0,100.0,0.06111791973415401,0.2192530056159458,0.5536584335035767*(x-0.06111791973415404)*(x-0.06111791973415404)*(x-0.06111791973415404)-0.46382284835416066*(x-0.06111791973415404)*(x-0.06111791973415404)-0.30552516710777167*(x-0.06111791973415404)+1.1277498006820679
